datetime_beginning_utc,datetime_beginning_ept,hrly_da_demand_bid
3/8/2017 4:00:00 AM,3/7/2017 11:00:00 PM,69944.0
3/8/2017 5:00:00 AM,3/8/2017 12:00:00 AM,67325.0
3/8/2017 6:00:00 AM,3/8/2017 1:00:00 AM,65428.0
3/8/2017 7:00:00 AM,3/8/2017 2:00:00 AM,64280.0
3/8/2017 8:00:00 AM,3/8/2017 3:00:00 AM,64618.0
3/8/2017 9:00:00 AM,3/8/2017 4:00:00 AM,67033.0
3/8/2017 10:00:00 AM,3/8/2017 5:00:00 AM,73649.0
3/8/2017 11:00:00 AM,3/8/2017 6:00:00 AM,85028.0
3/8/2017 12:00:00 PM,3/8/2017 7:00:00 AM,86455.0
3/8/2017 1:00:00 PM,3/8/2017 8:00:00 AM,86098.0
3/8/2017 2:00:00 PM,3/8/2017 9:00:00 AM,85538.0
3/8/2017 3:00:00 PM,3/8/2017 10:00:00 AM,85123.0
3/8/2017 4:00:00 PM,3/8/2017 11:00:00 AM,84611.0
3/8/2017 5:00:00 PM,3/8/2017 12:00:00 PM,83825.0
3/8/2017 6:00:00 PM,3/8/2017 1:00:00 PM,82945.0
3/8/2017 7:00:00 PM,3/8/2017 2:00:00 PM,81888.0
3/8/2017 8:00:00 PM,3/8/2017 3:00:00 PM,81221.0
3/8/2017 9:00:00 PM,3/8/2017 4:00:00 PM,81139.0
3/8/2017 10:00:00 PM,3/8/2017 5:00:00 PM,82974.0
3/8/2017 11:00:00 PM,3/8/2017 6:00:00 PM,87637.0
3/9/2017 12:00:00 AM,3/8/2017 7:00:00 PM,88030.0
3/9/2017 1:00:00 AM,3/8/2017 8:00:00 PM,86859.0
3/9/2017 2:00:00 AM,3/8/2017 9:00:00 PM,83597.0
3/9/2017 3:00:00 AM,3/8/2017 10:00:00 PM,78740.0
3/9/2017 4:00:00 AM,3/8/2017 11:00:00 PM,71916.0
3/9/2017 5:00:00 AM,3/9/2017 12:00:00 AM,67231.0
3/9/2017 6:00:00 AM,3/9/2017 1:00:00 AM,65722.0
3/9/2017 7:00:00 AM,3/9/2017 2:00:00 AM,65063.0
3/9/2017 8:00:00 AM,3/9/2017 3:00:00 AM,65359.0
3/9/2017 9:00:00 AM,3/9/2017 4:00:00 AM,68187.0
3/9/2017 10:00:00 AM,3/9/2017 5:00:00 AM,75006.0
3/9/2017 11:00:00 AM,3/9/2017 6:00:00 AM,87416.0
3/9/2017 12:00:00 PM,3/9/2017 7:00:00 AM,89144.0
3/9/2017 1:00:00 PM,3/9/2017 8:00:00 AM,85458.0
3/9/2017 2:00:00 PM,3/9/2017 9:00:00 AM,84389.0
3/9/2017 3:00:00 PM,3/9/2017 10:00:00 AM,83559.0
3/9/2017 4:00:00 PM,3/9/2017 11:00:00 AM,82392.0
3/9/2017 5:00:00 PM,3/9/2017 12:00:00 PM,81532.0
3/9/2017 6:00:00 PM,3/9/2017 1:00:00 PM,81026.0
3/9/2017 7:00:00 PM,3/9/2017 2:00:00 PM,80148.0
3/9/2017 8:00:00 PM,3/9/2017 3:00:00 PM,79383.0
3/9/2017 9:00:00 PM,3/9/2017 4:00:00 PM,79939.0
3/9/2017 10:00:00 PM,3/9/2017 5:00:00 PM,81622.0
3/9/2017 11:00:00 PM,3/9/2017 6:00:00 PM,87318.0
3/10/2017 12:00:00 AM,3/9/2017 7:00:00 PM,88773.0
3/10/2017 1:00:00 AM,3/9/2017 8:00:00 PM,87515.0
3/10/2017 2:00:00 AM,3/9/2017 9:00:00 PM,83608.0
3/10/2017 3:00:00 AM,3/9/2017 10:00:00 PM,78249.0
3/10/2017 4:00:00 AM,3/9/2017 11:00:00 PM,71833.0
3/10/2017 5:00:00 AM,3/10/2017 12:00:00 AM,69481.0
3/10/2017 6:00:00 AM,3/10/2017 1:00:00 AM,68057.0
3/10/2017 7:00:00 AM,3/10/2017 2:00:00 AM,67676.0
3/10/2017 8:00:00 AM,3/10/2017 3:00:00 AM,67867.0
3/10/2017 9:00:00 AM,3/10/2017 4:00:00 AM,70545.0
3/10/2017 10:00:00 AM,3/10/2017 5:00:00 AM,76916.0
3/10/2017 11:00:00 AM,3/10/2017 6:00:00 AM,88563.0
3/10/2017 12:00:00 PM,3/10/2017 7:00:00 AM,92033.0
