"","P_E_DA","E_DA","P_E_RT","E_RT_total","P_R_REG_a","P_R_REG_d","R_REG_a","R_REG_d","delta_REG_p","delta_REG_n"
"776",32.610099,98939,25.116005,1530.985,1.2789,1.2789,302.9,146.8,0,0.154564285714286
"777",28.789041,97189,22.904914,1983.804,0.3526,0.3526,229.3,154.5,0,0.152961904761905
"778",27.49087,96340,20.743885,451.767999999996,0.1914,0.1914,242.3,154.5,0,0.264383333333333
"779",26.72044,96006,21.91752,-1303.54399999999,5.2668,5.8086,232.2,155.1,0.206119047619048,0
"780",24.678691,93903,19.98299,-754.725999999995,8.14616,12.55936,233.9,155.1,0,0.140261904761905
"781",23.752041,92110,19.843509,-563.822,26.8047,32.40315,233.1,155,0,0.170333333333333
"782",23.136224,90778,19.262345,-202.892999999996,10.8936,15.1453,231.6,154.8,0,0.0554380952380952
"783",22.468395,89611,18.694926,89.2119999999995,8.60992,13.72096,231.5,154.8,0,0.0643309523809524
"784",22.033103,88915,17.152587,308.198000000004,5.2113,7.63338,237.8,118.4,0,0.333557142857143
"785",23.33501,91016,19.964839,-268.75,17.78524,38.4373,274,110.9,0,0.151769047619048
"786",30.341228,96369,33.11672,-980.169999999998,13.7004,13.7004,277,146.8,0,0.0273547619047619
"787",30.935055,98609,24.229145,723.542000000001,0.323,0.323,278.8,146.9,0,0.155552380952381
"788",29.306573,96603,24.483906,2241.61,0.2958,0.2958,280,142.6,0,0.1124
"789",27.83122,94305,24.103953,2734.23699999999,51.36306,80.45586,280.8,142.6,0,0.184104761904762
"790",23.854488,90214,19.520488,3194.36599999999,7.3491,11.611,218.3,150.9,0,0.372052380952381
"791",20.751366,83501,19.990913,4336.754,16.6218,23.01156,245.7,151.5,0,0.173547619047619
"792",17.645912,76594,20.036003,5530.833,9.04332,14.48148,265.3,151.9,0,0.138361904761905
"793",14.577214,73784,16.558756,3895.86900000001,82.4745,104.7345,194.8,135.2,0.0333523809523809,0
"794",14.129836,72180,13.944732,2953.251,28.99176,52.21608,196.5,135.2,0,0.262936507936508
