"","G_gas","G_coal_brown","G_coal_hard","G_bio","G_hydro","G_nuclear","G_wind_on","G_wind_off","G_pv","G_otherRE","G_phes","G_otherCONV"
"107",4236.5,15504.25,16117.5,4624.25,1190.5,6374,9733.75,2122.75,2990.5,106,916,8893.25
"108",4174.75,15713.5,16047.25,4634.75,1180,6376.25,10279.25,1707.75,4275.75,106,400.25,8626.25
"109",4191,15485.25,16049.25,4626.75,1213.75,6388.75,10844,1229.75,4453,106,609.25,8743.75
"110",4206.75,15383.25,16461.5,4626.5,1200.75,6376.25,10179.5,881.75,3876,106,620.75,9011.25
"111",4371.25,15721,16530,4626.5,1168.25,6376,9295.75,651,2642,106,722.25,8874.25
"112",4729.25,16276.75,16632.75,4643.25,1172,6363,8876.75,587,1078.75,106,1059,8799.25
"113",4611.75,15951.25,16650.75,4640,1198.75,6354.25,8321.5,566.5,97,106,1291.5,9085.5
"114",4780.25,16051,16712.25,4640.5,1265,6351,8060,552.5,0,106,3374.5,9941.75
"115",4773.25,15835,16994.5,4641.25,1271.25,6344,7710.25,464.25,0,106,3101.25,9274.75
"116",4628.75,16299.25,17140,4640,1241.75,6345,6997,378.75,0,106,2993.25,8971.75
"117",4756.25,16561.5,17071,4629,1135,6349.5,6481,271.75,0,106,1098.25,8856
"118",4398.75,16245.25,16762.5,4616.75,1124,6354,5966.75,204.5,0,106,146.75,8461.5
"119",4438.25,16299,16407.25,4620.75,1120.75,6360,5328.5,123.5,0,106,351.25,8395
"120",3817.75,16881.25,15087,4610.5,1126,6362.5,4822,135,0,106,60.25,7614.75
